"seller","title","description","category","tags","price","quantity","unit","images","location","latitude","longitude","color","finish","thickness","length","width","height","origin","grade","isAvailable","availableQuantity","minimumOrder","isShippingAvailable","shippingCost","estimatedDelivery","isActive","isSold","soldTo","soldAt","soldPrice","createdAt","updatedAt"
"6924b0b870d6af1f481afd74","Brown Standard Marble - Pakistan #1","High-quality brown marble extracted and processed in Quetta, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","blocks|flooring|brown|sample-dataset",13.73,183,"pieces","https://cdn.marbledemo.com/pakistan/1-1.jpg|https://cdn.marbledemo.com/pakistan/1-2.jpg","Quetta",30.024664,69.622256,"Brown","leathered",2.12,269,139,8,"Pakistan","standard",true,53,44,true,889.14,13,true,false,"","","","2025-08-15T17:57:18.770Z","2025-09-07T18:46:27.562Z"
"6924bce5c8975c1fe8f96b38","Cream Premium Marble - Pakistan #2","High-quality cream marble extracted and processed in Rawalpindi, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","countertop|exterior|cream|sample-dataset",32.83,232,"kg","https://cdn.marbledemo.com/pakistan/2-1.jpg|https://cdn.marbledemo.com/pakistan/2-2.jpg","Rawalpindi",24.733952,65.815931,"Cream","brushed",1.96,289,197,9,"Pakistan","premium",true,215,9,false,0,"",true,false,"","","","2025-06-30T09:25:53.038Z","2025-07-11T22:39:33.528Z"
"6924bce5c8975c1fe8f96b39","Gold Standard Marble - Pakistan #3","High-quality gold marble extracted and processed in Rawalpindi, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","export quality|slabs|interior|bookmatched|countertop|gold|sample-dataset",33.82,902,"lbs","https://cdn.marbledemo.com/pakistan/3-1.jpg|https://cdn.marbledemo.com/pakistan/3-2.jpg","Rawalpindi",33.136471,61.052094,"Gold","polished",2.62,300,172,9,"Pakistan","standard",true,563,22,true,1045.4,6,true,false,"","","","2025-04-13T18:05:46.658Z","2025-04-24T11:15:47.284Z"
"6924bce5c8975c1fe8f96b3a","Gold Commercial Marble - Pakistan #4","High-quality gold marble extracted and processed in Hyderabad, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","tiles|gold|sample-dataset",89.27,934,"square_meters","https://cdn.marbledemo.com/pakistan/4-1.jpg|https://cdn.marbledemo.com/pakistan/4-2.jpg","Hyderabad",32.919174,67.052897,"Gold","brushed",1.61,302,130,16,"Pakistan","commercial",false,548,49,true,1765.46,3,false,true,"68e4cc16f95b766dfcbc431d","2024-12-17T09:13:21.235Z",99.08970000000001,"2024-12-06T13:42:35.212Z","2025-01-27T23:19:17.364Z"
"68e2f0d36bca3695ba9b1b25","Cream Premium Marble - Pakistan #5","High-quality cream marble extracted and processed in Quetta, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","countertop|exterior|slabs|cream|sample-dataset",51.15,799,"tons","https://cdn.marbledemo.com/pakistan/5-1.jpg|https://cdn.marbledemo.com/pakistan/5-2.jpg","Quetta",36.469445,70.496606,"Cream","natural",2.63,234,128,5,"Pakistan","premium",true,224,21,true,656.41,15,true,false,"","","","2025-05-06T20:56:56.769Z","2025-06-27T19:04:54.642Z"
"6924b0b870d6af1f481afd74","Black Commercial Marble - Pakistan #6","High-quality black marble extracted and processed in Multan, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","exterior|black|sample-dataset",58.75,319,"square_meters","https://cdn.marbledemo.com/pakistan/6-1.jpg|https://cdn.marbledemo.com/pakistan/6-2.jpg","Multan",34.792846,62.465511,"Black","leathered",2.1,277,146,16,"Pakistan","commercial",true,57,37,false,0,"",true,false,"","","","2025-07-07T16:34:15.424Z","2025-08-24T02:06:51.489Z"
"6924bce5c8975c1fe8f96b38","Brown Standard Marble - Pakistan #7","High-quality brown marble extracted and processed in Peshawar, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","interior|exterior|export quality|countertop|brown|sample-dataset",26.81,67,"pieces","https://cdn.marbledemo.com/pakistan/7-1.jpg|https://cdn.marbledemo.com/pakistan/7-2.jpg","Peshawar",31.113866,62.361578,"Brown","leathered",2.06,184,134,20,"Pakistan","standard",true,11,11,true,379.92,11,true,false,"","","","2025-09-26T19:05:12.075Z","2025-10-14T11:06:45.526Z"
"6924bce5c8975c1fe8f96b39","White Commercial Marble - Pakistan #8","High-quality white marble extracted and processed in Hyderabad, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","tiles|bookmatched|export quality|interior|exterior|white|sample-dataset",8.69,151,"pieces","https://cdn.marbledemo.com/pakistan/8-1.jpg|https://cdn.marbledemo.com/pakistan/8-2.jpg","Hyderabad",32.980643,68.253648,"White","natural",2.49,187,112,4,"Pakistan","commercial",false,105,44,true,53.34,7,true,false,"","","","2025-02-25T07:50:56.848Z","2025-03-26T04:59:07.050Z"
"6924bce5c8975c1fe8f96b3a","Cream Standard Marble - Pakistan #9","High-quality cream marble extracted and processed in Karachi, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","blocks|bookmatched|cream|sample-dataset",50.05,969,"tons","https://cdn.marbledemo.com/pakistan/9-1.jpg|https://cdn.marbledemo.com/pakistan/9-2.jpg","Karachi",33.54182,62.345565,"Cream","brushed",2.34,195,87,11,"Pakistan","standard",true,283,42,true,258.2,18,true,true,"68e58cbbc82e54ae042e91bc","2025-09-17T20:23:10.857Z",51.050999999999995,"2025-07-30T22:51:00.646Z","2025-08-11T19:30:47.843Z"
"68e2f0d36bca3695ba9b1b25","White Commercial Marble - Pakistan #10","High-quality white marble extracted and processed in Rawalpindi, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","countertop|tiles|white|sample-dataset",91.82,349,"square_meters","https://cdn.marbledemo.com/pakistan/10-1.jpg|https://cdn.marbledemo.com/pakistan/10-2.jpg","Rawalpindi",24.418976,70.535808,"White","honed",1.68,272,93,17,"Pakistan","commercial",true,45,22,true,1254.25,5,false,true,"68e2f45e312f178399feec51","2025-03-28T05:09:42.351Z",89.0654,"2025-02-19T09:25:58.645Z","2025-02-27T12:07:29.707Z"
"6924b0b870d6af1f481afd74","Beige Premium Marble - Pakistan #11","High-quality beige marble extracted and processed in Quetta, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","interior|beige|sample-dataset",81.15,157,"cubic_meters","https://cdn.marbledemo.com/pakistan/11-1.jpg|https://cdn.marbledemo.com/pakistan/11-2.jpg","Quetta",28.144021,75.0379,"Beige","leathered",1.63,259,108,3,"Pakistan","premium",true,80,42,false,0,"",true,false,"","","","2025-08-09T17:10:54.996Z","2025-08-12T22:31:16.160Z"
"6924bce5c8975c1fe8f96b38","Grey Standard Marble - Pakistan #12","High-quality grey marble extracted and processed in Quetta, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","export quality|tiles|interior|blocks|grey|sample-dataset",49.84,274,"cubic_meters","https://cdn.marbledemo.com/pakistan/12-1.jpg|https://cdn.marbledemo.com/pakistan/12-2.jpg","Quetta",33.431109,64.717763,"Grey","brushed",2.1,284,192,14,"Pakistan","standard",true,235,29,true,1112.14,8,true,false,"","","","2025-01-13T05:57:40.812Z","2025-03-12T20:43:38.174Z"
"6924bce5c8975c1fe8f96b39","White Standard Marble - Pakistan #13","High-quality white marble extracted and processed in Lahore, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","tiles|countertop|white|sample-dataset",29.23,493,"tons","https://cdn.marbledemo.com/pakistan/13-1.jpg|https://cdn.marbledemo.com/pakistan/13-2.jpg","Lahore",30.729608,64.836579,"White","leathered",1.76,233,149,13,"Pakistan","standard",true,457,33,true,1602.35,7,true,false,"","","","2025-04-10T04:57:02.554Z","2025-05-04T13:48:53.405Z"
"6924bce5c8975c1fe8f96b3a","Beige Commercial Marble - Pakistan #14","High-quality beige marble extracted and processed in Sialkot, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","blocks|export quality|exterior|flooring|beige|sample-dataset",87.04,403,"kg","https://cdn.marbledemo.com/pakistan/14-1.jpg|https://cdn.marbledemo.com/pakistan/14-2.jpg","Sialkot",30.877155,66.163517,"Beige","honed",2.32,181,76,4,"Pakistan","commercial",true,190,18,true,1073.67,17,true,false,"","","","2025-09-24T01:47:45.529Z","2025-10-24T09:39:50.040Z"
"68e2f0d36bca3695ba9b1b25","Green Standard Marble - Pakistan #15","High-quality green marble extracted and processed in Sialkot, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","slabs|tiles|countertop|blocks|green|sample-dataset",27.59,789,"square_meters","https://cdn.marbledemo.com/pakistan/15-1.jpg|https://cdn.marbledemo.com/pakistan/15-2.jpg","Sialkot",29.267896,64.373201,"Green","leathered",2.09,215,97,18,"Pakistan","standard",true,754,35,false,0,"",true,true,"68e4cc16f95b766dfcbc431d","2025-08-21T20:59:42.728Z",27.8659,"2025-06-20T16:38:04.192Z","2025-08-06T21:08:09.511Z"
"6924b0b870d6af1f481afd74","White Premium Marble - Pakistan #16","High-quality white marble extracted and processed in Islamabad, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","flooring|interior|bookmatched|blocks|white|sample-dataset",37.99,460,"cubic_meters","https://cdn.marbledemo.com/pakistan/16-1.jpg|https://cdn.marbledemo.com/pakistan/16-2.jpg","Islamabad",36.287556,62.763099,"White","natural",2.55,317,72,6,"Pakistan","premium",true,83,14,false,0,"",true,false,"","","","2024-12-22T04:50:31.719Z","2025-01-05T22:26:24.146Z"
"6924bce5c8975c1fe8f96b38","Brown Commercial Marble - Pakistan #17","High-quality brown marble extracted and processed in Sialkot, Pakistan. Suitable for flooring, countertops, and premium architectural projects.","marble","bookmatched|interior|flooring|tiles|slabs|brown|sample-dataset",77.89,539,"tons","https://cdn.marbledemo.com/pakistan/17-1.jpg|https://cdn.marbledemo.com/pakistan/17-2.jpg","Sialkot",29.398384,65.522996,"Brown","natural",2.72,234,60,20,"Pakistan","commercial",true,43,19,true,1111.52,19,true,false,"","","","2025-02-13T19:23:55.108Z","2025-04-10T19:32:03.351Z"
